Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse
2025-12-31,21.96,24.97,9.78,0.85,1.35,4.38,0.3693,7.53,AKSA
2024-06-30,,,,,,,,,AKSGY
2024-09-30,,,,,,,,,AKSGY
2024-12-31,77.36,11.51,12.89,0.69,0.07,7.19,0.9513,2.27,AKSGY
2025-03-31,72.92,16.22,9.41,0.87,0.5,0.49,0.0712,30.26,AKSGY
2025-06-30,75.96,11.08,6.97,0.95,0.38,1.67,0.2613,8.25,AKSGY
2025-09-30,75.84,10.67,24.74,1.89,0.06,5.58,0.9455,2.28,AKSGY
2025-12-31,76.61,11.41,4.36,2.15,0.0,4.33,0.7995,2.7,AKSGY
2024-06-30,56.62,26.18,6.47,1.12,0.41,1.53,0.1237,58.1,AKSUE
2024-09-30,10.88,167.4,11.53,1.08,-3.24,-1.69,-0.1477,-48.64,AKSUE
2024-12-31,-17.19,-4.53,12.71,1.13,0.11,0.49,0.0452,158.91,AKSUE
2024-06-30,29.38,79.57,48.38,0.69,0.12,10.5,0.2829,2.31,AKYHO
2024-09-30,13.27,247.99,1.68,1.95,-0.81,1.29,0.0442,14.81,AKYHO
2024-12-31,-118.07,-21.94,46.91,2.82,0.05,-17.45,-0.471,-1.39,AKYHO
2025-03-31,6.3,508.43,12.57,1.71,-0.16,-6.4,-0.1347,-4.86,AKYHO
2025-06-30,10.93,164.01,19.78,2.62,0.01,7.07,0.1672,3.92,AKYHO
2024-06-30,,,,,,,,,ALARK
2024-09-30,,,,,,,,,ALARK
2024-12-31,-107.69,-127.62,27.21,1.02,0.63,2.69,3.7215,6.18,ALARK
2025-03-31,0.65,9186.76,138.28,0.93,-6.86,-3.64,-5.3362,-4.31,ALARK
2025-06-30,-7.32,-401.73,114.37,0.95,2.03,-1.23,-1.8242,-12.61,ALARK
2025-09-30,24.1,120.63,47.63,0.94,0.93,4.37,7.2748,3.16,ALARK
2025-12-31,-23.17,-16.93,100.58,0.82,2.66,-1.2,-2.0474,-11.23,ALARK
2024-06-30,,,,,,,,,ALBRK
2024-09-30,,,,,,,,,ALBRK
