Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse,BKM_Filtre,FGBK_Filtre,FGG_Filtre,FK_Filtre,FS_Filtre,CO_Filtre,NB_Filtre,ROE_Filtre,EPS_Artis_Filtre,Icsel_Deger,Toplam_Gecilen
,,,,,,14.47,8.1113,6.91,AGESA,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,801.86,1
,,,,,,,,,AGHOL,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,AGHOL,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,28.22,88.65,8.29,1.02,0.48,-1.86,-0.8926,-8.15,AGHOL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,25.4,96.12,8.0,0.94,0.92,0.6,0.2381,30.56,AGHOL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,23.54,2
,28.5,77.18,7.77,0.93,0.79,0.43,0.1757,41.41,AGHOL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,17.37,2
,30.58,68.83,7.16,0.95,0.49,3.15,1.4146,5.14,AGHOL,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,139.84,3
,26.84,87.25,7.77,0.94,0.78,-1.8,-0.8458,-8.6,AGHOL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,,,,,,,,,AHGAZ,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,7.97,167.0,9.68,1.02,0.32,-1.8,-0.163,-33.9,AHGAZ,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,14.56,46.83,0.12,1.1,-0.26,0.81,0.0831,66.45,AHGAZ,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,8.22,2
,17.56,44.46,0.77,1.03,-0.91,4.54,0.5345,10.34,AHGAZ,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,52.84,3
,20.12,68.92,1.39,1.0,-0.96,0.27,0.0448,123.39,AHGAZ,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,4.43,2
,19.61,59.32,1.72,0.99,-0.84,1.98,0.3483,15.86,AHGAZ,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,34.43,2
,,,,,,,,,AHSGY,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,100.0,33.53,1.01,26.24,-7.44,0.67,0.0499,106.71,AHSGY,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,4.93,3
,84.1,24.15,,70.76,-13.0,-0.26,-0.0184,-289.07,AHSGY,GECTI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,85.59,16.33,,34.84,-3.06,1.41,0.1066,49.93,AHSGY,GECTI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,10.54,3
,,,,,,,,,AKBNK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,296.28,,,3.91,1.7367,10.91,AKBNK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,171.69,1
,,,295.5,,,3.84,1.7752,10.67,AKBNK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,175.49,1
,,,235.35,,,5.65,2.6412,7.17,AKBNK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,261.1,1
,,,296.33,,,4.3,2.1394,8.86,AKBNK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,211.49,1
,,,202.24,,,5.91,3.5253,5.38,AKBNK,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,348.5,1
,,,,,,,,,AKCNS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,AKCNS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,15.4,31.65,5.19,1.6,-0.3,2.1,2.2541,22.9,AKCNS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,222.83,3
,4.13,183.79,7.34,1.45,0.13,-0.83,-0.9239,-55.88,AKCNS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,12.01,53.76,6.35,1.53,0.22,1.11,1.2869,40.12,AKCNS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,127.22,3
,15.39,42.27,5.09,1.57,0.1,1.74,2.1831,23.65,AKCNS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,215.82,3
,15.96,19.42,4.09,1.49,-0.16,0.95,1.2472,41.39,AKCNS,GECMEDI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,123.29,3
,,,,,,,,,AKFGY,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,AKFGY,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,95.67,10.0,29.06,2.99,0.58,0.3,0.0233,31.22,AKFGY,GECTI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,2.3,3
,95.38,34.21,33.89,2.64,0.87,2.8,0.1865,3.9,AKFGY,GECTI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,18.44,3
,96.23,9.6,18.91,3.08,1.99,0.89,0.0635,11.46,AKFGY,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,6.28,4
,92.22,5.39,17.13,3.28,1.18,1.03,0.0791,9.19,AKFGY,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,7.82,4
,93.71,7.26,30.89,2.22,0.38,3.7,0.3099,2.35,AKFGY,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,30.64,4
,,,,,,,,,AKGRT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,AKGRT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,12.23,0.3862,5.31,AKGRT,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,38.18,1
