Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse,BKM_Filtre,FGBK_Filtre,FGG_Filtre,FK_Filtre,FS_Filtre,CO_Filtre,NB_Filtre,ROE_Filtre,EPS_Artis_Filtre,Icsel_Deger,Toplam_Gecilen
,4.15,40.5,12.5,1.28,-0.04,-14.44,-2.5403,-3.84,DESPC,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,,,,,,,,,DEVA,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,DEVA,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,36.71,79.56,19.78,1.61,1.43,-0.59,-0.8013,-19.41,DEVA,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,,2
,37.18,83.83,15.06,1.69,0.94,0.08,0.0921,168.81,DEVA,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,9.1,2
,31.66,109.39,16.71,1.88,0.74,2.02,2.4967,6.23,DEVA,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,246.82,3
,32.43,107.04,13.8,1.71,0.93,-0.08,-0.1041,-149.43,DEVA,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,,3
,30.09,104.08,11.96,1.65,1.19,-5.11,-6.7196,-2.31,DEVA,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,,3
,,,,,,,,,DGATE,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,DGATE,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,4.83,35.29,4.14,1.11,0.0,-5.09,-0.4046,-48.79,DGATE,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,4.29,54.32,6.13,1.12,-0.08,-8.66,-0.6978,-28.29,DGATE,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,10.3,29.78,1.9,1.11,-2.23,-8.51,-0.669,-29.5,DGATE,GECMEDI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,6.16,31.93,0.98,1.06,-3.68,0.05,0.0038,5170.21,DGATE,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,0.38,2
,7.63,26.29,2.67,1.03,1.04,19.04,2.0918,9.44,DGATE,GECMEDI,GECTI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,206.79,4
,,,,,,,,,DGGYO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,DGGYO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,81.12,13.16,43.49,0.11,1.02,1.7,0.7196,9.9,DGGYO,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,71.14,4
,81.91,12.21,32.55,0.14,5.19,-0.76,-0.2675,-26.61,DGGYO,GECTI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,2
,85.78,12.42,27.22,0.17,-14.54,-0.37,-0.1373,-51.85,DGGYO,GECTI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,85.44,15.89,21.95,0.05,3.05,1.36,0.5506,12.93,DGGYO,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,54.43,4
,81.77,5.13,32.92,0.05,3.28,-1.94,-0.8056,-8.84,DGGYO,GECTI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,,,,,,,,,DGNMO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,38.3,77.55,3.56,0.77,1.55,0.15,0.0126,77.11,DGNMO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,1.25,2
,20.15,196.28,8.68,0.55,-1.18,-20.26,-1.8719,-0.52,DGNMO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,31.58,112.85,16.05,0.6,2.33,-9.18,-0.8568,-1.14,DGNMO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,1
,18.77,190.65,16.57,0.47,-6.96,-34.9,-2.5969,-0.38,DGNMO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,1
,18.59,167.02,20.07,0.43,4.35,-20.81,-1.3776,-0.71,DGNMO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,DITAS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,7.34,229.6,12.04,0.74,3.65,-55.81,-0.9588,-11.72,DITAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,0.56,4859.18,4.24,0.69,1.93,-17.79,-0.233,-48.23,DITAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,10.86,209.55,18.87,0.67,19.03,-64.15,-0.5636,-19.94,DITAS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,-2.17,-1063.59,15.93,0.58,-6.67,-9557.15,-0.9217,-12.2,DITAS,GECMEDI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,10.72,134.49,4.76,0.58,1.94,-3.59,-0.208,-54.03,DITAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,,,,,,,,,DMSAS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,DMSAS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,24.35,38.4,11.26,0.78,-0.95,-4.09,-0.236,-9.74,DMSAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,3.38,289.16,7.85,0.76,4.23,-1.34,-0.0839,-27.41,DMSAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,1
,16.76,62.58,7.54,0.77,3.42,-4.07,-0.2602,-8.84,DMSAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,6.83,126.52,7.25,0.75,2.0,-1.37,-0.0924,-24.9,DMSAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,11.14,124.27,7.09,0.75,7.67,-9.07,-0.5899,-3.9,DMSAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,1
,,,,,,,,,DNISI,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,DNISI,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,22.93,51.24,19.97,3.83,-0.43,-4.1,-0.4664,-10.59,DNISI,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,1
,11.84,89.82,11.65,4.51,-0.22,-2.36,-0.2202,-22.43,DNISI,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,10.98,96.5,1.75,4.77,-0.17,-1.05,-0.1026,-48.13,DNISI,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,9.68,99.93,2.96,3.88,0.0,-1.55,-0.1605,-30.78,DNISI,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,17.7,76.38,2.28,4.0,0.07,6.23,0.7215,6.85,DNISI,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,71.33,3
,,,,,,,,,DOAS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,DOAS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,15.01,76.64,1.49,1.58,0.18,2.26,7.3841,6.68,DOAS,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,729.97,4
,16.17,59.33,1.7,1.27,1.01,1.05,2.6218,18.82,DOAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,259.18,2
,11.03,44.92,2.73,1.28,1.0,3.5,9.618,5.13,DOAS,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,950.81,3
,13.46,53.27,3.02,1.38,1.06,3.16,9.6365,5.12,DOAS,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,952.64,3
,10.83,91.47,2.83,1.43,2.42,-2.85,-8.6865,-5.68,DOAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,,,,,,,,,DOCO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,22.78,62.03,0.94,1.23,0.52,7.59,2.6176,862.68,DOCO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,258.77,2
,43.43,77.99,1.25,1.2,0.8,4.86,1.7718,1274.51,DOCO,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,175.16,3
,22.06,61.46,0.92,1.26,0.52,6.49,2.4391,925.79,DOCO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,241.12,2
,22.67,62.04,0.92,1.23,0.37,6.39,2.4273,930.31,DOCO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,239.96,2
,22.63,60.72,0.82,1.33,0.16,6.94,2.8352,796.47,DOCO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,280.28,2
,,,,,,,,,DOHOL,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,DOHOL,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,15.7,106.37,9.48,1.7,0.47,1.53,0.493,10.68,DOHOL,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,48.74,4
,15.47,85.9,5.42,1.69,0.63,-0.75,-0.202,-26.06,DOHOL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,,3
,16.27,78.8,5.33,1.69,0.17,0.1,0.0293,179.61,DOHOL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,2.9,3
,18.56,76.19,6.48,1.7,1.27,0.16,0.0494,106.53,DOHOL,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,4.88,3
,21.56,70.62,3.78,1.57,1.06,2.6,0.846,6.22,DOHOL,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,83.63,4
,,,,,,,,,DURDO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,41.63,45.01,5.4,1.1,0.94,0.91,0.0237,38.71,DURDO,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,2.34,3
,25.08,86.13,4.54,1.21,1.27,0.04,0.0011,821.27,DURDO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,0.11,2
,4.39,450.41,6.92,1.2,-7.74,-5.68,-0.1598,-5.74,DURDO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,19.21,99.79,7.41,1.15,7.42,-6.94,-0.1934,-4.74,DURDO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,1
,26.17,74.3,5.32,1.18,1.63,-1.99,-0.0585,-15.69,DURDO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,18.59,100.17,10.21,0.9,1.9,4.42,0.6845,4.94,DYOBY,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,67.67,3
,27.2,69.39,14.49,0.84,2.95,-1.61,-0.2673,-12.66,DYOBY,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,35.13,56.48,15.67,0.77,3.55,-3.33,-0.6636,-5.1,DYOBY,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,1
,34.17,59.68,14.32,0.82,2.48,0.15,0.0327,103.53,DYOBY,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,3.23,2
,27.21,123.63,18.85,0.69,-5.96,-7.77,-1.6834,-2.01,DYOBY,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,1
,,,,,,,,,DZGYO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,63.38,19.19,1.56,2.42,-2.64,0.53,0.0462,41.03,DZGYO,GECTI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,4.57,4
,43.75,44.37,1.89,2.64,0.01,9.67,0.9955,1.9,DZGYO,GECTI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,98.41,4
,37.37,373.76,8.31,38.03,-0.4,-0.42,-0.047,-40.34,DZGYO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,36.99,155.37,13.7,30.91,-0.3,0.41,0.0488,38.83,DZGYO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,4.82,2
,87.61,35.4,2.87,29.78,-1.07,1.11,0.1446,13.11,DZGYO,GECTI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,14.29,4
,,,,,,,,,EBEBK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,39.17,61.11,0.75,1.3,0.08,3.44,0.7744,19.97,EBEBK,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,76.55,2
,37.21,76.84,0.93,1.2,0.08,-2.13,-0.487,-31.75,EBEBK,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,31.13,100.12,1.17,1.15,0.49,-1.15,-0.2869,-53.9,EBEBK,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,39.03,65.8,1.02,1.13,1.02,-0.44,-0.1149,-134.58,EBEBK,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,37.06,72.69,1.06,1.09,0.39,0.32,0.0922,167.76,EBEBK,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,9.11,2
,,,,,,,,,ECILC,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,ECILC,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,18.83,170.83,12.09,2.02,0.23,0.17,0.1495,197.6,ECILC,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,14.78,2
,34.33,146.84,9.98,2.38,-0.18,3.02,2.2453,13.16,ECILC,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,221.96,3
,23.21,187.12,6.54,2.16,-0.37,0.56,0.4362,67.75,ECILC,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,43.12,2
,31.9,122.85,9.85,2.35,-0.37,0.86,0.7233,40.85,ECILC,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,71.5,2
,41.32,91.42,9.15,2.01,-0.42,-0.79,-0.7029,-42.04,ECILC,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,,,,,,,,,ECZYT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,ECZYT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,103.59,-0.38,-0.26,-0.5045,-146.18,ECZYT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,1
,,,,31.21,-0.47,1.81,3.9586,18.63,ECZYT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,391.34,1
,,,,26.34,-0.89,0.58,1.3104,56.28,ECZYT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,129.54,1
,,,,41.32,-0.54,1.41,3.4812,21.19,ECZYT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,344.14,1
,,,,70.88,1.25,-0.6,-1.5875,-46.46,ECZYT,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,1
,,,,,,,,,EDIP,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,EDIP,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,54.4,28.66,103.47,0.4,1.26,8.56,8.1092,1.11,EDIP,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,801.65,4
,55.39,17.46,22.12,0.76,1.28,3.12,2.5684,3.51,EDIP,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,253.9,4
,54.88,13.07,21.66,0.95,2.9,4.69,4.2828,2.11,EDIP,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,423.39,4
,55.0,12.05,13.13,0.86,2.86,-0.65,-0.6346,-14.21,EDIP,GECTI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,4
,57.68,17.75,19.45,0.72,0.55,3.14,3.2924,2.74,EDIP,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,325.48,4
,,,,,,,,,EGGUB,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,62.27,33.57,1.56,8.5,-0.15,3.07,1.7569,17.2,EGGUB,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,173.68,3
,40.44,60.86,1.81,6.74,0.22,1.13,0.6915,43.71,EGGUB,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,68.36,3
,44.63,41.62,0.26,2.81,0.15,1.12,0.7642,39.55,EGGUB,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,75.55,3
,51.83,50.23,11.47,2.36,0.21,2.42,1.7567,17.21,EGGUB,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,173.66,3
,33.62,56.26,0.32,1.82,0.14,2.05,1.627,18.58,EGGUB,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,160.84,3
,,,,,,,,,EGPRO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,EGPRO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,31.73,62.67,0.67,1.26,-0.01,2.64,0.3968,18.81,EGPRO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,39.23,2
,36.0,53.87,1.14,1.33,-0.29,1.07,0.1371,54.47,EGPRO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,13.55,2
,34.16,55.06,0.83,1.31,-0.36,2.56,0.3468,21.53,EGPRO,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,34.28,2
,33.79,52.18,1.02,1.42,-0.05,4.4,0.6705,11.13,EGPRO,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,66.28,3
,39.8,52.3,2.13,1.4,-0.14,4.17,0.6801,10.98,EGPRO,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,67.23,3
,,,,,,,,,EGSER,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,EGSER,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,-11.17,-154.61,6.46,1.12,-1.1,-7.92,-0.3471,-2.1,EGSER,GECMEDI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,-5.68,-257.65,22.83,1.06,-0.88,-12.46,-0.4084,-1.79,EGSER,GECMEDI,GECTI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,12.72,117.78,14.92,0.95,1.36,-13.2,-0.4001,-1.82,EGSER,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,17.32,92.95,15.1,0.86,4.11,-8.53,-0.2511,-2.91,EGSER,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,7.3,204.95,13.36,0.88,-50.4,-12.35,-0.3415,-2.14,EGSER,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,,,,,,,,,EKGYO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,31.81,31.31,3.17,1.78,0.18,3.7,0.8198,6.32,EKGYO,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,81.04,4
,15.27,32.91,6.91,1.75,0.27,10.23,2.6782,1.93,EKGYO,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,264.76,4
,26.17,14.46,5.71,1.84,0.3,2.99,0.8886,5.83,EKGYO,GECMEDI,GECTI,GECTI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,87.84,5
,37.1,14.93,10.96,1.93,0.33,5.0,1.6349,3.17,EKGYO,GECMEDI,GECTI,GECTI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,161.62,5
,30.77,30.93,24.46,2.1,1.34,0.15,0.053,97.65,EKGYO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,5.24,1
,,,,,,,,,EKOS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
